iter	Passed	Remaining
0	11	6602
1	21	6067
2	29	5612
3	38	5439
4	48	5486
5	57	5444
6	66	5347
7	74	5255
8	83	5212
9	91	5150
10	99	5099
11	108	5059
12	116	5012
13	125	5005
14	133	4959
15	141	4933
16	149	4904
17	158	4883
18	166	4866
19	175	4853
20	184	4857
21	193	4844
22	201	4810
23	210	4804
24	218	4792
25	227	4778
26	235	4771
27	243	4746
28	252	4729
29	260	4722
30	269	4717
31	278	4701
32	286	4692
33	295	4683
34	305	4697
35	314	4691
36	324	4699
37	333	4690
38	341	4680
39	350	4671
40	359	4659
41	367	4647
42	376	4638
43	385	4629
44	393	4620
45	402	4607
46	411	4605
47	420	4593
48	428	4582
49	437	4571
50	446	4566
51	454	4555
52	463	4544
53	471	4529
54	480	4525
55	488	4513
56	498	4516
57	507	4505
58	516	4497
59	524	4487
60	533	4476
61	542	4470
62	551	4460
63	559	4451
64	568	4443
65	577	4435
66	586	4429
67	595	4420
68	603	4410
69	612	4404
70	621	4396
71	630	4386
72	639	4376
73	647	4364
74	656	4360
75	665	4350
76	674	4342
77	683	4334
78	691	4325
79	700	4315
80	708	4305
81	717	4295
82	728	4299
83	736	4288
84	745	4281
85	754	4270
86	763	4263
87	773	4262
88	782	4257
89	791	4248
90	799	4235
91	807	4223
92	815	4211
93	823	4197
94	832	4190
95	842	4187
96	851	4180
97	862	4178
98	871	4173
99	879	4162
100	888	4152
101	897	4144
102	906	4135
103	914	4125
104	923	4114
105	932	4107
106	941	4100
107	951	4095
108	960	4089
109	969	4082
110	978	4072
111	986	4062
112	995	4053
113	1005	4046
114	1013	4038
115	1022	4027
116	1031	4020
117	1040	4013
118	1049	4005
119	1058	3997
120	1067	3988
121	1076	3979
122	1085	3972
123	1094	3963
124	1103	3954
125	1112	3946
126	1121	3936
127	1129	3926
128	1138	3917
129	1146	3907
130	1155	3897
131	1163	3888
132	1173	3882
133	1183	3876
134	1192	3868
135	1200	3857
136	1209	3848
137	1218	3840
138	1226	3830
139	1235	3822
140	1244	3813
141	1253	3805
142	1262	3797
143	1271	3788
144	1279	3777
145	1288	3767
146	1296	3758
147	1305	3749
148	1314	3740
149	1323	3731
150	1331	3721
151	1340	3712
152	1349	3704
153	1358	3696
154	1367	3688
155	1375	3678
156	1384	3669
157	1394	3662
158	1403	3654
159	1411	3644
160	1420	3635
161	1429	3626
162	1437	3616
163	1445	3604
164	1454	3595
165	1462	3586
166	1471	3578
167	1480	3569
168	1488	3559
169	1497	3550
170	1507	3543
171	1516	3535
172	1525	3526
173	1533	3517
174	1543	3510
175	1552	3502
176	1562	3496
177	1571	3487
178	1580	3479
179	1589	3471
180	1598	3462
181	1608	3456
182	1617	3447
183	1625	3437
184	1634	3427
185	1644	3421
186	1652	3410
187	1661	3402
188	1669	3391
189	1679	3386
190	1689	3378
191	1699	3371
192	1707	3362
193	1716	3353
194	1725	3345
195	1734	3337
196	1743	3327
197	1752	3318
198	1761	3309
199	1769	3300
200	1779	3293
201	1788	3285
202	1797	3277
203	1807	3268
204	1815	3259
205	1825	3251
206	1834	3243
207	1843	3234
208	1851	3224
209	1860	3215
210	1868	3206
211	1877	3197
212	1886	3189
213	1895	3179
214	1903	3169
215	1912	3160
216	1921	3151
217	1929	3142
218	1939	3134
219	1947	3125
220	1956	3116
221	1966	3108
222	1974	3099
223	1983	3090
224	1992	3081
225	2001	3072
226	2009	3063
227	2018	3055
228	2027	3045
229	2035	3036
230	2044	3027
231	2054	3019
232	2063	3010
233	2072	3001
234	2080	2992
235	2089	2984
236	2098	2975
237	2107	2966
238	2115	2956
239	2124	2947
240	2133	2939
241	2142	2930
242	2151	2922
243	2160	2912
244	2168	2903
245	2177	2894
246	2185	2884
247	2193	2874
248	2201	2864
249	2210	2855
250	2219	2846
251	2228	2838
252	2237	2829
253	2245	2820
254	2254	2811
255	2262	2801
256	2271	2793
257	2281	2785
258	2290	2776
259	2299	2768
260	2308	2759
261	2317	2751
262	2327	2742
263	2336	2734
264	2346	2726
265	2355	2718
266	2363	2708
267	2373	2700
268	2381	2691
269	2390	2682
270	2400	2674
271	2409	2666
272	2419	2658
273	2428	2650
274	2437	2641
275	2446	2632
276	2455	2624
277	2465	2616
278	2475	2608
279	2485	2600
280	2494	2592
281	2504	2583
282	2512	2574
283	2521	2565
284	2531	2557
285	2539	2548
286	2548	2539
287	2557	2531
288	2566	2522
289	2575	2513
290	2584	2504
291	2593	2495
292	2602	2487
293	2611	2478
294	2621	2470
295	2630	2461
296	2639	2453
297	2648	2444
298	2657	2435
299	2666	2426
300	2675	2417
301	2684	2408
