,param,exp(coef),std_err,p_value,exp(ci_lower),exp(ci_upper),ED LOS Change [Est.],ED LOS Change [LC],ED LOS Change [UC],visit_type,crowding_type,ED LOS Change (%) [95% CI]
0,C(visit_type)[non-urgent-admitted]:Q('non-urgent-discharged'),1.0020716887572585,0.0005501050458247,0.0001685299343698,1.0009918469172725,1.0031526955002383,0.002071688757258494,0.0009918469172724986,0.003152695500238334,"Non-Urgent, Admitted","Non-Urgent, Discharged",0.21 (0.10–0.32)
1,C(visit_type)[non-urgent-discharged]:Q('non-urgent-discharged'),1.0118412381445197,0.0001921935239582,0.0,1.0114601555049227,1.0122224643626625,0.01184123814451965,0.011460155504922742,0.0122224643626625,"Non-Urgent, Discharged","Non-Urgent, Discharged",1.18 (1.15–1.22)
2,C(visit_type)[urgent-admitted]:Q('non-urgent-discharged'),0.9993139702974092,0.0004611732727108,0.1367294682495226,0.9984111118579244,1.0002176451875042,-0.0006860297025907958,-0.001588888142075584,0.0002176451875042229,"Urgent, Admitted","Non-Urgent, Discharged",-0.07 (-0.16–0.02)
3,C(visit_type)[urgent-discharged]:Q('non-urgent-discharged'),1.0040397402547736,0.0003848440300658,1.1256559898218305e-25,1.0032826952270917,1.0047973565244162,0.004039740254773605,0.003282695227091681,0.004797356524416152,"Urgent, Discharged","Non-Urgent, Discharged",0.40 (0.33–0.48)
4,C(visit_type)[non-urgent-admitted]:Q('urgent-admitted'),1.006731415513708,0.0011145789560349,1.754951456582393e-09,1.0045345674888455,1.0089330678941402,0.006731415513707928,0.004534567488845509,0.008933067894140168,"Non-Urgent, Admitted","Urgent, Admitted",0.67 (0.45–0.89)
5,C(visit_type)[non-urgent-discharged]:Q('urgent-admitted'),1.0073015492070942,0.0003853663463188,1.9161611990980583e-79,1.0065410143566207,1.0080626587120034,0.007301549207094249,0.006541014356620689,0.008062658712003401,"Non-Urgent, Discharged","Urgent, Admitted",0.73 (0.65–0.81)
6,C(visit_type)[urgent-admitted]:Q('urgent-admitted'),1.0145299721704764,0.0009370919649849,1.8873931883658422e-53,1.0126683216188783,1.0163950451089527,0.014529972170476357,0.01266832161887832,0.016395045108952733,"Urgent, Admitted","Urgent, Admitted",1.45 (1.27–1.64)
7,C(visit_type)[urgent-discharged]:Q('urgent-admitted'),1.004695285154958,0.0007817565328375,2.0749103055821667e-09,1.0031570488991486,1.0062358801349387,0.004695285154957984,0.0031570488991485846,0.006235880134938698,"Urgent, Discharged","Urgent, Admitted",0.47 (0.32–0.62)
8,C(visit_type)[non-urgent-admitted]:Q('urgent-discharged'),1.011861155749321,0.0009875829675353,7.482771486329348e-33,1.009904456400838,1.0138216462211278,0.011861155749320895,0.009904456400837924,0.013821646221127803,"Non-Urgent, Admitted","Urgent, Discharged",1.19 (0.99–1.38)
9,C(visit_type)[non-urgent-discharged]:Q('urgent-discharged'),1.0041771566347448,0.0003437263254485,7.713631019886031e-34,1.0035008764144548,1.004853892614414,0.0041771566347448275,0.0035008764144548454,0.004853892614413935,"Non-Urgent, Discharged","Urgent, Discharged",0.42 (0.35–0.49)
10,C(visit_type)[urgent-admitted]:Q('urgent-discharged'),1.0100353910929762,0.0008233534202633,7.673189852404749e-34,1.008406761408364,1.0116666510997472,0.010035391092976242,0.00840676140836405,0.011666651099747183,"Urgent, Admitted","Urgent, Discharged",1.00 (0.84–1.17)
11,C(visit_type)[urgent-discharged]:Q('urgent-discharged'),1.008433889144256,0.0006816931649761,7.19934880711321e-35,1.007087420920676,1.0097821575856123,0.008433889144255913,0.007087420920675935,0.009782157585612294,"Urgent, Discharged","Urgent, Discharged",0.84 (0.71–0.98)
12,C(visit_type)[non-urgent-admitted]:Q('non-urgent-admitted'),1.0033896820505757,0.0017170206271066,0.0487446197013428,1.0000186380976788,1.006772089729007,0.0033896820505756597,1.8638097678769228e-05,0.0067720897290068915,"Non-Urgent, Admitted","Non-Urgent, Admitted",0.34 (0.00–0.68)
13,C(visit_type)[non-urgent-discharged]:Q('non-urgent-admitted'),1.0106458969122838,0.0005873619438204,1.2567542526817996e-72,1.0094830977830505,1.0118100354416693,0.010645896912283792,0.009483097783050454,0.011810035441669253,"Non-Urgent, Discharged","Non-Urgent, Admitted",1.06 (0.95–1.18)
14,C(visit_type)[urgent-admitted]:Q('non-urgent-admitted'),1.004940886017373,0.0014651310412124,0.0007682748515919,1.0020592215835658,1.0078308373764735,0.00494088601737297,0.0020592215835657512,0.007830837376473498,"Urgent, Admitted","Non-Urgent, Admitted",0.49 (0.21–0.78)
15,C(visit_type)[urgent-discharged]:Q('non-urgent-admitted'),1.0091406074838096,0.0012261164688875,1.1648905775777689e-13,1.0067183990636517,1.0115686438431772,0.009140607483809626,0.006718399063651681,0.01156864384317724,"Urgent, Discharged","Non-Urgent, Admitted",0.91 (0.67–1.16)
